西安市碑林区人才交流服务中心,108.93607700352862,34.25810510797374,de6607cb9f166306b020a8c9,"{'name': '西安市碑林区人才交流服务中心', 'location': {'lat': 34.262688, 'lng': 108.947177}, 'address': '南院门27号', 'street_id': 'de6607cb9f166306b020a8c9', 'detail': 1, 'uid': 'de6607cb9f166306b020a8c9', 'detail_info': {'tag': '公司企业;公司', 'navi_location': {'lng': 108.94725740963, 'lat': 34.262635387275}, 'type': 'enterprise', 'detail_url': 'http://api.map.baidu.com/place/detail?uid=de6607cb9f166306b020a8c9&output=html&source=placeapi_v2', 'comment_num': '1'}}"
"{'name': '西安市碑林区人才交流服务中心', 'location': {'lat': 34.262688, 'lng': 108.947177}, 'address': '南院门27号', 'street_id': 'de6607cb9f166306b020a8c9', 'detail': 1, 'uid': 'de6607cb9f166306b020a8c9', 'detail_info': {'tag': '公司企业;公司', 'navi_location': {'lng': 108.94725740963, 'lat': 34.262635387275}, 'type': 'enterprise', 'detail_url': 'http://api.map.baidu.com/place/detail?uid=de6607cb9f166306b020a8c9&output=html&source=placeapi_v2', 'comment_num': '1'}}"
西安晚报社,108.93235939346455,34.25420323462706,53cebd50e67690612a02e106,"{'name': '西安晚报社', 'location': {'lat': 34.258723, 'lng': 108.943471}, 'address': '西安市碑林区太阳庙门43号', 'street_id': '53cebd50e67690612a02e106', 'detail': 1, 'uid': '53cebd50e67690612a02e106', 'detail_info': {'tag': '文化传媒;新闻出版', 'navi_location': {'lng': 108.94335407726, 'lat': 34.258603578506}, 'type': 'enterprise', 'detail_url': 'http://api.map.baidu.com/place/detail?uid=53cebd50e67690612a02e106&output=html&source=placeapi_v2'}}"
"{'name': '西安晚报社', 'location': {'lat': 34.258723, 'lng': 108.943471}, 'address': '西安市碑林区太阳庙门43号', 'street_id': '53cebd50e67690612a02e106', 'detail': 1, 'uid': '53cebd50e67690612a02e106', 'detail_info': {'tag': '文化传媒;新闻出版', 'navi_location': {'lng': 108.94335407726, 'lat': 34.258603578506}, 'type': 'enterprise', 'detail_url': 'http://api.map.baidu.com/place/detail?uid=53cebd50e67690612a02e106&output=html&source=placeapi_v2'}}"
韵达快递(西安城中公司NO.710028),108.93734490956253,34.25888187645435,1cfbb59f6798e978ad31e579,"{'name': '韵达快递(西安城中公司NO.710028)', 'location': {'lat': 34.263485, 'lng': 108.948442}, 'address': '马坊门8号', 'street_id': '1cfbb59f6798e978ad31e579', 'telephone': '(029)87256847', 'detail': 1, 'uid': '1cfbb59f6798e978ad31e579', 'detail_info': {'tag': '生活服务;物流公司', 'type': 'life', 'detail_url': 'http://api.map.baidu.com/place/detail?uid=1cfbb59f6798e978ad31e579&output=html&source=placeapi_v2', 'image_num': '3'}}"
"{'name': '韵达快递(西安城中公司NO.710028)', 'location': {'lat': 34.263485, 'lng': 108.948442}, 'address': '马坊门8号', 'street_id': '1cfbb59f6798e978ad31e579', 'telephone': '(029)87256847', 'detail': 1, 'uid': '1cfbb59f6798e978ad31e579', 'detail_info': {'tag': '生活服务;物流公司', 'type': 'life', 'detail_url': 'http://api.map.baidu.com/place/detail?uid=1cfbb59f6798e978ad31e579&output=html&source=placeapi_v2', 'image_num': '3'}}"
前程无忧西安分公司,108.92825235377039,34.25224310769288,21219019e1f8710e2811d1b4,"{'name': '前程无忧西安分公司', 'location': {'lat': 34.256689, 'lng': 108.939377}, 'address': '西安市环城南路西段140号含光大厦402室', 'street_id': '21219019e1f8710e2811d1b4', 'detail': 1, 'uid': '21219019e1f8710e2811d1b4', 'detail_info': {'tag': '公司企业;公司', 'type': 'enterprise', 'detail_url': 'http://api.map.baidu.com/place/detail?uid=21219019e1f8710e2811d1b4&output=html&source=placeapi_v2'}}"
"{'name': '前程无忧西安分公司', 'location': {'lat': 34.256689, 'lng': 108.939377}, 'address': '西安市环城南路西段140号含光大厦402室', 'street_id': '21219019e1f8710e2811d1b4', 'detail': 1, 'uid': '21219019e1f8710e2811d1b4', 'detail_info': {'tag': '公司企业;公司', 'type': 'enterprise', 'detail_url': 'http://api.map.baidu.com/place/detail?uid=21219019e1f8710e2811d1b4&output=html&source=placeapi_v2'}}"
陕西万泽招标有限公司,108.91563295175861,34.26072643280851,ef5ac56ece332af7d7b74e5e,"{'name': '陕西万泽招标有限公司', 'location': {'lat': 34.264951, 'lng': 108.926791}, 'address': '西关正街60号英达大厦4层', 'street_id': 'ef5ac56ece332af7d7b74e5e', 'detail': 1, 'uid': 'ef5ac56ece332af7d7b74e5e', 'detail_info': {'tag': '公司企业;公司', 'type': 'enterprise', 'detail_url': 'http://api.map.baidu.com/place/detail?uid=ef5ac56ece332af7d7b74e5e&output=html&source=placeapi_v2'}}"
"{'name': '陕西万泽招标有限公司', 'location': {'lat': 34.264951, 'lng': 108.926791}, 'address': '西关正街60号英达大厦4层', 'street_id': 'ef5ac56ece332af7d7b74e5e', 'detail': 1, 'uid': 'ef5ac56ece332af7d7b74e5e', 'detail_info': {'tag': '公司企业;公司', 'type': 'enterprise', 'detail_url': 'http://api.map.baidu.com/place/detail?uid=ef5ac56ece332af7d7b74e5e&output=html&source=placeapi_v2'}}"
陕西广电网络南广济街营业厅,108.93381618256386,34.25907967600048,cca5fb2cb338c8a4f60e7700,"{'name': '陕西广电网络南广济街营业厅', 'location': {'lat': 34.263625, 'lng': 108.94492}, 'address': '西关街道南广济街6号博泰大酒店一楼门面', 'street_id': 'cca5fb2cb338c8a4f60e7700', 'telephone': '87616710', 'detail': 0, 'uid': 'cca5fb2cb338c8a4f60e7700', 'detail_info': {'tag': '生活服务;公用事业'}}"
